ccn,hospital_name,address,teléfono,municipality,province,autonomous_community,postal_code,beds,cod_clase_de_centro,center_type,cod_dep_funcional,management_type,forma_parte_complejo,codidcom,nombre_del_complejo,alta,email
1531000730,hospital garcía orcoyen,calle santa soria 22 -,848435000,estella-lizarra,navarra,c. foral de navarra,31200,108,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,gerencia.areasalud.estella@navarra.es
1531000738,clínica arcángel san miguel - pamplona,calle beloso alto 32 -,948296000,pamplona/iruña,navarra,c. foral de navarra,31006,72,C11,hospitales generales,20,privados,N,0,Independent,N,clinicasanmiguel@clinicasanmiguel.es
1531000736,clínica psiquiátrica padre menni,calle joaquín beunza 45 -,948140611,pamplona/iruña,navarra,c. foral de navarra,31014,217,C14,hospitales de salud mental y tratamiento de toxicomanías,20,privados,N,0,Independent,N,gerencia.mennipamplona@hospitalarias.es
1531000733,clínica universidad de navarra,avenida pio si 36 -,948255400,pamplona/iruña,navarra,c. foral de navarra,31008,230,C11,hospitales generales,20,privados,N,0,Independent,N,direccioncun@unav.es
1531000737,hospital san juan de dios,calle beloso alto 3 -,948231800,pamplona/iruña,navarra,c. foral de navarra,31006,288,C11,hospitales generales,20,privados,N,0,Independent,N,hospitalpamplona@sjd.es
1531000739,centro san francisco javier,avenida villava 53 -,948422730,pamplona/iruña,navarra,c. foral de navarra,31015,84,C14,hospitales de salud mental y tratamiento de toxicomanías,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,unidad.media.estancia@navarra.es
1531002230,hospital universitario de navarra,calle irunlarrea 3 -,848422222,pamplona/iruña,navarra,c. foral de navarra,31008,1077,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,gerchna@navarra.es
1531000729,hospital reina sofía,carretera tarazona km. 3 -,848434000,tudela,navarra,c. foral de navarra,31500,190,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,hrst@navarra.es
1232000112,hospital publico de valdeorras,avenida conde de fenosa 50,988339000,"barco de valdeorras, o",ourense,galicia,32300,100,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1232000115,clinica santa teresa,calle saenz diez 11,988371710,ourense,ourense,galicia,32003,49,C11,hospitales generales,20,privados,N,0,Independent,N,correo@cosaga.com
1232000114,centro medico el carmen,avenida habana (de la) 50,988223400,ourense,ourense,galicia,32003,43,C11,hospitales generales,20,privados,N,0,Independent,N,info@centromedicoelcarmen.es
1232000111,complexo hospitalario universitario de ourense,calle ramon puga 52,988385500,ourense,ourense,galicia,32005,859,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1012000256,instituto de traumatología de unión de mutuas (matepss nº 267),avenida virgén de lidon 67,964231212,castelló de la plana,castellón,comunidad valenciana,12004,28,C12,hospitales especializados,21,mútuas colaboradoras con la seguridad social,N,0,Independent,N,amarti@uniondemutuas.es
1012000255,hospital rey d. jaime,calle maria rosa molas 25,964726000,castelló de la plana,castellón,comunidad valenciana,12004,96,C11,hospitales generales,20,privados,N,0,Independent,N,reydjaime@hospitales.nisa.es
1012000183,consorcio hospitalario provincial de castellón,avenida doctor clara 19,964354303;964359700,castelló de la plana,castellón,comunidad valenciana,12002,257,C11,hospitales generales,4,otros centros o establecimientos públicos de dependencia autonómica,N,0,Independent,N,direccion.gerencia@hospitalprovincial.es
1012000182,hospital la magdalena,camino collet 32,964356800,castelló de la plana,castellón,comunidad valenciana,12004,128,C13,hospitales de media y larga estancia,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1012000180,hospital general universitario de castellón,avenida benicàssim s/n,964725000;964726510,castelló de la plana,castellón,comunidad valenciana,12004,521,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,sugerencias_dscs@gva.es
1012000178,hospital universitario de la plana,"carretera vila-real a borriana km 0,5",964399775;964399845,vila-real,castellón,comunidad valenciana,12540,258,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,hlp_gerencia@gva.es
1012000288,hospital comarcal de vinaros,avenida gil de atrocillo s/n,964400032;964477000,vinaròs,castellón,comunidad valenciana,12500,174,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,suay_ale@gva.es
813000450,hospital general la mancha centro,avenida de la constitución 3,926580500,alcázar de san juan,ciudad real,castilla-la mancha,13600,362,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
813000043,hospital quironsalud ciudad real,calle alisos 19,926255008,ciudad real,ciudad real,castilla-la mancha,13002,55,C11,hospitales generales,20,privados,N,0,Independent,N,ciudad.real@quironsalud.es
813000583,servicios sanitarios y asistenciales,ronda del carmen s/nº,926231275,ciudad real,ciudad real,castilla-la mancha,13002,87,C14,hospitales de salud mental y tratamiento de toxicomanías,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,administracionssa@dipucr.es
813000595,hospital general universitario  de ciudad real,calle obispo rafael torija s/n,926278000,ciudad real,ciudad real,castilla-la mancha,13005,564,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
813000577,hospital virgen de altagracia,avenida d. emiliano garcía roldan 2,000000000,manzanares,ciudad real,castilla-la mancha,13200,118,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
813000578,hospital santa bárbara,carretera malagón s/nº,926421100,puertollano,ciudad real,castilla-la mancha,13500,141,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
813000931,hospital general de tomelloso,calle vereda de socuellamos s/n,926525800,tomelloso,ciudad real,castilla-la mancha,13700,155,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,gai.tomelloso@sescam.jccm.es
813000584,hospital general de valdepeñas,avenida de los estudiantes s/nº,926320200,valdepeñas,ciudad real,castilla-la mancha,13300,103,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
1215000183,hospital publico virxe da xunqueira,paseo alcalde pepe sanchez 7,981706010,cee,a coruña,galicia,15270,74,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,N,0,Independent,N,
114000529,hospital infanta  margarita,avenida góngora s/n,957021300,cabra,córdoba,andalucía,14940,232,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140274,Hospital Infanta Margarita,N,
114000537,hospital cruz roja de córdoba,paseo de la victoria s/n,957420666,córdoba,córdoba,andalucía,14004,138,C11,hospitales generales,20,privados,N,0,Independent,N,luciaretenaga@hcrc.es
114000536,hospital san juan de dios de córdoba,avenida del brillante 106,957274600,córdoba,córdoba,andalucía,14012,205,C11,hospitales generales,20,privados,N,0,Independent,N,cordoba.hospital@sjd.es
114003668,hospital quironsalud córdoba,"avenida del aeropuerto, s/n s/n",957410000,córdoba,córdoba,andalucía,14004,115,C11,hospitales generales,20,privados,N,0,Independent,N,info.cor@quironsalud.es
114000533,hospital materno - infantil del h.u. reina sofía,avenida menéndez pidal s/n,957010380,córdoba,córdoba,andalucía,14004,194,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140023,Hospital Universitario Reina Sofía,N,
114000532,hospital los morales,carretera los molares s/n,957012042,córdoba,córdoba,andalucía,14012,19,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140023,Hospital Universitario Reina Sofía,N,
114000531,hospital provincial,avenida menéndez pidal s/n,957011604,córdoba,córdoba,andalucía,14004,389,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140023,Hospital Universitario Reina Sofía,N,
114000530,hospital universitario reina sofía,avenida menéndez pidal s/n,957010380,córdoba,córdoba,andalucía,14004,607,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140023,Hospital Universitario Reina Sofía,N,gerencia.hrs.sspa@juntadeandalucia.es
114003703,hospital palma del río,avenida v califa s/n,000000000,córdoba,córdoba,andalucía,14700,20,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140023,Hospital Universitario Reina Sofía,N,
114003688,hospital centro de andalucía,calle pontevedra 1,000000000,lucena,córdoba,andalucía,14900,196,C11,hospitales generales,20,privados,N,0,Independent,N,
114000873,hospital de montilla,"carretera ctra. montoro-puente genil, km. 65,350 s/n",957022600,montilla,córdoba,andalucía,14550,73,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140274,Hospital Infanta Margarita,N,
114001599,hospital de alta resolución valle del guadiato,calle paraje cerro del camello s/n,957579100,peñarroya-pueblonuevo,córdoba,andalucía,14200,17,C11,hospitales generales,2,servicios e institutos de salud de las comunidades autónomas,S,140285,Hospital Valle de Los Pedroches,N,hvguadiato.asnc.sspa@juntadeandalucia
