ccn,hospital_name,address,phone,municipality,province,autonomous_community,postcode,beds,cod_clase_de_centro,center_type,cod_dep_funcional,management_type,forma_parte_complejo,codidcom,nombre_del_complejo,alta,email
1531000730,Hospital García Orcoyen,Calle Santa Soria 22 -,848435000,Estella-Lizarra,Navarra,C. Foral de Navarra,31200,108,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,gerencia.areasalud.estella@navarra.es
1531000738,Clínica Arcángel San Miguel - Pamplona,Calle Beloso Alto 32 -,948296000,Pamplona/Iruña,Navarra,C. Foral de Navarra,31006,72,C11,Hospitales Generales,20,Privados,N,0,Independent,N,clinicasanmiguel@clinicasanmiguel.es
1531000736,Clínica Psiquiátrica Padre Menni,Calle Joaquín Beunza 45 -,948140611,Pamplona/Iruña,Navarra,C. Foral de Navarra,31014,217,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,0,Independent,N,gerencia.mennipamplona@hospitalarias.es
1531000733,Clínica Universidad de Navarra,Avenida Pio Si 36 -,948255400,Pamplona/Iruña,Navarra,C. Foral de Navarra,31008,230,C11,Hospitales Generales,20,Privados,N,0,Independent,N,direccioncun@unav.es
1531000737,Hospital San Juan de Dios,Calle Beloso Alto 3 -,948231800,Pamplona/Iruña,Navarra,C. Foral de Navarra,31006,288,C11,Hospitales Generales,20,Privados,N,0,Independent,N,hospitalpamplona@sjd.es
1531000739,Centro San Francisco Javier,Avenida Villava 53 -,948422730,Pamplona/Iruña,Navarra,C. Foral de Navarra,31015,84,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,unidad.media.estancia@navarra.es
1531002230,Hospital Universitario de Navarra,Calle Irunlarrea 3 -,848422222,Pamplona/Iruña,Navarra,C. Foral de Navarra,31008,1077,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,gerchna@navarra.es
1531000729,Hospital Reina Sofía,Carretera Tarazona KM. 3 -,848434000,Tudela,Navarra,C. Foral de Navarra,31500,190,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,hrst@navarra.es
1232000112,Hospital Publico de Valdeorras,Avenida Conde de Fenosa 50,988339000,"Barco de Valdeorras, O",Ourense,Galicia,32300,100,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1232000115,Clinica Santa Teresa,Calle Saenz Diez 11,988371710,Ourense,Ourense,Galicia,32003,49,C11,Hospitales Generales,20,Privados,N,0,Independent,N,correo@cosaga.com
1232000114,Centro Medico El Carmen,Avenida Habana (De La) 50,988223400,Ourense,Ourense,Galicia,32003,43,C11,Hospitales Generales,20,Privados,N,0,Independent,N,info@centromedicoelcarmen.es
1232000111,Complexo Hospitalario Universitario de Ourense,Calle Ramon Puga 52,988385500,Ourense,Ourense,Galicia,32005,859,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1012000256,Instituto de Traumatología de Unión de Mutuas (Matepss Nº 267),Avenida Virgén de Lidon 67,964231212,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,28,C12,Hospitales especializados,21,Mútuas Colaboradoras con La Seguridad Social,N,0,Independent,N,amarti@uniondemutuas.es
1012000255,Hospital Rey D. Jaime,Calle Maria Rosa Molas 25,964726000,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,96,C11,Hospitales Generales,20,Privados,N,0,Independent,N,reydjaime@hospitales.nisa.es
1012000183,Consorcio Hospitalario Provincial de Castellón,Avenida Doctor Clara 19,964354303;964359700,Castelló de la Plana,Castellón,Comunidad Valenciana,12002,257,C11,Hospitales Generales,4,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,N,0,Independent,N,direccion.gerencia@hospitalprovincial.es
1012000182,Hospital La Magdalena,Camino Collet 32,964356800,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,128,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1012000180,Hospital General Universitario de Castellón,Avenida Benicàssim S/N,964725000;964726510,Castelló de la Plana,Castellón,Comunidad Valenciana,12004,521,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,sugerencias_dscs@gva.es
1012000178,Hospital Universitario de La Plana,"Carretera Vila-Real A Borriana KM 0,5",964399775;964399845,Vila-real,Castellón,Comunidad Valenciana,12540,258,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,hlp_gerencia@gva.es
1012000288,Hospital Comarcal de Vinaros,Avenida Gil de Atrocillo S/N,964400032;964477000,Vinaròs,Castellón,Comunidad Valenciana,12500,174,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,suay_ale@gva.es
813000450,Hospital General La Mancha Centro,Avenida De La Constitución 3,926580500,Alcázar de San Juan,Ciudad Real,Castilla-La Mancha,13600,362,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
813000043,Hospital Quironsalud Ciudad Real,Calle Alisos 19,926255008,Ciudad Real,Ciudad Real,Castilla-La Mancha,13002,55,C11,Hospitales Generales,20,Privados,N,0,Independent,N,ciudad.real@quironsalud.es
813000583,Servicios Sanitarios y Asistenciales,Ronda Del Carmen S/Nº,926231275,Ciudad Real,Ciudad Real,Castilla-La Mancha,13002,87,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,administracionssa@dipucr.es
813000595,Hospital General Universitario  de Ciudad Real,Calle Obispo Rafael Torija S/N,926278000,Ciudad Real,Ciudad Real,Castilla-La Mancha,13005,564,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
813000577,Hospital Virgen de Altagracia,Avenida D. Emiliano García Roldan 2,000000000,Manzanares,Ciudad Real,Castilla-La Mancha,13200,118,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
813000578,Hospital Santa Bárbara,Carretera Malagón S/Nº,926421100,Puertollano,Ciudad Real,Castilla-La Mancha,13500,141,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
813000931,Hospital General de Tomelloso,Calle Vereda de Socuellamos S/N,926525800,Tomelloso,Ciudad Real,Castilla-La Mancha,13700,155,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,gai.tomelloso@sescam.jccm.es
813000584,Hospital General de Valdepeñas,Avenida De Los Estudiantes S/Nº,926320200,Valdepeñas,Ciudad Real,Castilla-La Mancha,13300,103,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
1215000183,Hospital Publico Virxe Da Xunqueira,Paseo Alcalde Pepe Sanchez 7,981706010,Cee,A Coruña,Galicia,15270,74,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,0,Independent,N,Not Available
114000529,Hospital Infanta  Margarita,Avenida Góngora S/N,957021300,Cabra,Córdoba,Andalucía,14940,232,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274,Hospital Infanta Margarita,N,Not Available
114000537,Hospital Cruz Roja de Córdoba,Paseo De La Victoria S/N,957420666,Córdoba,Córdoba,Andalucía,14004,138,C11,Hospitales Generales,20,Privados,N,0,Independent,N,luciaretenaga@hcrc.es
114000536,Hospital San Juan de Dios de Córdoba,Avenida Del Brillante 106,957274600,Córdoba,Córdoba,Andalucía,14012,205,C11,Hospitales Generales,20,Privados,N,0,Independent,N,cordoba.hospital@sjd.es
114003668,Hospital Quironsalud Córdoba,"Avenida Del Aeropuerto, S/N S/N",957410000,Córdoba,Córdoba,Andalucía,14004,115,C11,Hospitales Generales,20,Privados,N,0,Independent,N,info.cor@quironsalud.es
114000533,Hospital Materno - Infantil del H.U. Reina Sofía,Avenida Menéndez Pidal S/N,957010380,Córdoba,Córdoba,Andalucía,14004,194,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023,Hospital Universitario Reina Sofía,N,Not Available
114000532,Hospital Los Morales,Carretera Los Molares S/N,957012042,Córdoba,Córdoba,Andalucía,14012,19,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023,Hospital Universitario Reina Sofía,N,Not Available
114000531,Hospital Provincial,Avenida Menéndez Pidal S/N,957011604,Córdoba,Córdoba,Andalucía,14004,389,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023,Hospital Universitario Reina Sofía,N,Not Available
